Year,Crime Type,States/UTs,Total # FIR,Total # Final Report,FR Non-Cognizable,FR False,Mistake of Fact / Law / Civil Dispute,True but insufficient evidence,Cases Abated,Total # Charge Sheeted,Total # Cases Disposed Off by Police
2021,(IPC + SLL),West Bengal,181821,14205,74,113,1757,12261,0,168149,183948
2021,(IPC + SLL),A&N Islands,1332,57,1,1,8,46,1,1272,1329
2021,(IPC + SLL),Chandigarh,2995,897,0,0,261,634,2,2430,3337
2021,(IPC + SLL),"D&N Haveli and
 Daman & Diu",579,146,0,1,74,55,16,521,667
2021,(IPC + SLL),Delhi,306389,197945,0,0,35826,162082,37,103169,301121
2021,(IPC + SLL),Jammu & Kashmir,31675,6565,0,3299,10,3256,0,28695,35272
2021,(IPC + SLL),Ladakh,559,52,0,21,8,23,0,473,525
2021,(IPC + SLL),Lakshadweep,128,80,0,0,0,80,0,129,209
2021,(IPC + SLL),Puducherry,4595,194,0,0,69,125,0,2968,3164
2020,(IPC + SLL),Andhra Pradesh,238105,12940,50,3367,1882,6971,670,120420,133685
2020,(IPC + SLL),Arunachal Pradesh,2503,1080,0,18,101,937,24,1339,2421
2020,(IPC + SLL),Assam,121609,58441,261,2784,13595,38438,3363,53491,112004
2020,(IPC + SLL),Bihar,257512,45765,2371,7371,10705,25318,0,174278,220046
2020,(IPC + SLL),Chhattisgarh,103173,11017,267,1212,372,8113,1053,75869,86933
2020,(IPC + SLL),Goa,4366,561,2,2,158,374,25,3742,4303
2020,(IPC + SLL),Gujarat,699619,11507,14,133,610,9765,985,677154,688673
2020,(IPC + SLL),Haryana,192395,107103,0,20122,8,86770,203,70514,177617
2020,(IPC + SLL),Himachal Pradesh,20630,2576,0,887,396,1201,92,17966,20543
2020,(IPC + SLL),Jharkhand,63570,18923,966,966,4569,12307,115,41780,60757
2020,(IPC + SLL),Karnataka,150080,22926,1,6175,1438,15079,233,114802,138411
2020,(IPC + SLL),Kerala,554724,8816,8,1954,2837,3861,156,534365,543312
2020,(IPC + SLL),Madhya Pradesh,428046,33797,0,3859,2660,27270,8,390039,423845
2020,(IPC + SLL),Maharashtra,539003,94221,1511,2339,10672,77371,2328,391594,486744
2020,(IPC + SLL),Manipur,2986,1547,16,15,36,1452,28,476,2023
2020,(IPC + SLL),Meghalaya,3744,4283,1,2,90,4182,8,1340,5629
2020,(IPC + SLL),Mizoram,2289,671,0,0,1,669,1,1759,2431
2020,(IPC + SLL),Nagaland,1511,388,2,0,9,376,1,942,1330
2020,(IPC + SLL),Odisha,134230,33448,14,1383,13606,18309,136,105216,138667
2020,(IPC + SLL),Punjab,82875,12940,0,3745,1025,8157,13,59072,72013
2020,(IPC + SLL),Rajasthan,260378,88289,297,36769,18501,32714,8,164408,252725
