Year,Crime Type,Crime Head,# Cases sent for Trial,Cases Disposed Off Without Trial,Cases Abated by Court,Cases Withdrawn from Prosecution,Cases Compounded or Compromised,Cases Disposed Off by Plea Bargaining,Cases Quashed,Cases Convicted,Cases Discharged,Cases Acquitted,Cases Where Trials Were Completed,Total # Cases Disposed Off by Courts
2020,IPC,Assault on Women with Intent to Outrage her Modesty,73610,2883,132,6,2513,158,74,5629,904,13649,20182,23065
2020,SLL,The Arms Act,66000,72,50,1,1,1,19,28030,744,3720,32494,32566
2020,IPC,Disobedience to order duly promulgated by Public Servant,482297,4309,16,912,595,139,2647,74872,905,7000,82777,87086
2020,SLL,The Protection of Children from Sexual Offences Act,44709,306,59,0,183,34,30,3686,497,5133,9316,9622
2018,SLL,Prohibition Act,518397,1493,669,395,421,0,8,216389,8116,109540,334045,335538
2018,IPC,Theft,148917,19341,423,947,17110,692,169,30768,5446,48638,84852,104193
2018,IPC,Hurt,465959,50300,745,1970,37421,9735,429,69404,11846,131897,213147,263447
2018,IPC,Rash Driving on Public Way,403698,18683,508,263,16715,1095,102,255973,4368,48812,309153,327836
2018,SLL,Excise Act,271475,1239,415,133,681,0,10,169218,817,29670,199705,200944
2018,SLL,Electricity Act,89650,2743,1259,1,1355,118,10,31438,1212,8642,41292,44035
2018,IPC,"Forgery, Cheating and Fraud",68920,5946,225,72,4923,441,285,5944,1275,17512,24731,30677
2018,SLL,Gambling Act,154403,309,82,103,70,7,47,99202,1492,17580,118274,118583
2018,IPC,Causing Death by Negligence,109951,3622,1713,84,1400,373,52,19720,2959,45956,68635,72257
2018,IPC,Criminal Intimidation,82998,8571,215,43,7230,1065,18,14587,1564,23073,39224,47795
2018,IPC,Cruelty by husband or his relatives,82837,11931,121,120,9693,807,1190,4982,1586,31691,38259,50190
2018,SLL,Narcotic Drugs and Psychotropic Substances Act,60120,489,113,125,205,1,45,28333,1729,8031,38093,38582
2018,IPC,Kidnapping and Abduction,38908,688,21,22,532,79,34,4973,887,11171,17031,17719
2018,IPC,Burglary,39178,2300,167,256,1769,82,26,9178,1542,16844,27564,29864
2018,SLL,Motor Vehicles Act,234735,713,53,37,623,0,0,237723,280,3548,241551,242264
2018,IPC,Obstruction on Public Way,97476,387,10,27,282,63,5,65769,157,4639,70565,70952
2018,IPC,Assault on Women with intent to outrage her modesty,75101,5011,118,121,4044,514,214,9352,1787,24253,35392,40403
2018,SLL,Arms Act,64313,194,137,8,23,7,19,27226,1880,10754,39860,40054
2018,IPC,Disobedience to order duly promulgated by Public Servant,19358,274,9,15,152,93,5,8565,487,2233,11285,11559
2018,SLL,Protection of Children from Sexual Offences Act,35568,236,30,1,157,20,28,3884,392,7069,11345,11581
